day_id,open,high,low,close,volume
D0041430,0.60252,0.6082,0.60219,0.60321,13663.2594
D0041445,0.60518,0.60653,0.6012,0.60345,14920.192
D0041500,0.60285,0.61428,0.60285,0.61312,63726.7998
D0041515,0.61133,0.62219,0.60954,0.62219,21057.8343
D0041530,0.62219,0.62603,0.62,0.622,48732.3259
D0041545,0.62211,0.62405,0.61977,0.61992,13394.8965
D0041600,0.62007,0.62007,0.61383,0.61738,25123.2446
D0041615,0.61727,0.61877,0.61237,0.61451,6545.2218
D0041630,0.61462,0.61463,0.6064,0.6064,19296.3485
D0041645,0.60793,0.61356,0.60672,0.61017,15871.8313
D0041700,0.6104,0.6171,0.6104,0.61589,36601.25
D0041715,0.61569,0.61858,0.615,0.61682,2910.6646
D0041730,0.61643,0.62112,0.61607,0.62064,15261.1959
D0041745,0.62047,0.62219,0.61935,0.62088,8033.5786
D0041800,0.62046,0.62432,0.61982,0.62063,5032.0521
D0041815,0.61995,0.61995,0.61711,0.61924,2557.7535
D0041830,0.61845,0.62338,0.6183,0.61966,5410.6605
D0041845,0.61934,0.62085,0.61847,0.62034,4682.4043
D0041900,0.62027,0.62103,0.61643,0.61668,2756.803
D0041915,0.61634,0.6195,0.61577,0.6184,10737.3547
D0041930,0.61698,0.62227,0.61698,0.62169,11310.5722
D0041945,0.62136,0.6255,0.61997,0.62369,4141.9693
D0042000,0.62246,0.62311,0.61725,0.61727,5687.6171
D0042015,0.61797,0.61931,0.61651,0.6186,7209.443
D0042030,0.61822,0.61973,0.61752,0.61841,4623.3021
D0042045,0.61821,0.61922,0.61633,0.61633,4537.3041
D0042100,0.61719,0.61719,0.61366,0.61392,14637.0326
D0042115,0.6136,0.6142,0.61004,0.61261,6866.2616
D0042130,0.61261,0.61261,0.6065,0.61188,16119.7924
D0042145,0.61085,0.61557,0.60979,0.6132,3500.7088
D0042200,0.61498,0.61524,0.6111,0.6133,1786.5115
D0042215,0.61126,0.6129,0.60782,0.6129,5262.4093
D0042230,0.61146,0.61555,0.61146,0.61555,1593.6333
D0042245,0.61525,0.61855,0.61352,0.61528,7167.0196
D0042300,0.61515,0.6171,0.61416,0.61631,4985.3774
D0042315,0.61606,0.6199,0.61547,0.61871,3164.2518
D0042330,0.61926,0.62158,0.61869,0.62122,6061.606
D0042345,0.62106,0.62467,0.62012,0.62467,8332.1691
D0050000,0.62469,0.62488,0.62102,0.62102,12301.2524
D0050015,0.62061,0.62163,0.61967,0.6203,1714.6689
D0050030,0.62016,0.62296,0.61905,0.62243,3230.2069
D0050045,0.62196,0.62196,0.62029,0.62095,768.4387
D0050100,0.62088,0.62663,0.62088,0.62661,2138.0714
D0050115,0.62669,0.63186,0.62544,0.63111,14841.0758
D0050130,0.632,0.63251,0.62877,0.63081,6233.692
D0050145,0.6315,0.6331,0.63061,0.63183,13324.9318
D0050200,0.63075,0.63437,0.62983,0.63047,8346.0869
D0050215,0.63034,0.63038,0.62681,0.62681,2902.3817
D0050230,0.62676,0.62676,0.62514,0.62628,3309.0468
D0050245,0.62615,0.6285,0.62422,0.6285,3801.8328
D0050300,0.62782,0.62802,0.62467,0.62707,3315.0603
D0050315,0.62469,0.62469,0.62008,0.62117,21339.9993
D0050330,0.6207,0.62143,0.61626,0.62143,4563.5994
D0050345,0.62171,0.62535,0.62063,0.6244,4223.6334
D0050400,0.62327,0.6275,0.62233,0.62533,4238.1034
D0050415,0.62499,0.6282,0.62499,0.62688,1465.6917
D0050430,0.62831,0.62965,0.62778,0.62867,2360.3859
D0050445,0.62723,0.62815,0.62674,0.62717,1425.895
D0050500,0.627,0.627,0.62401,0.6253,18241.7587
D0050515,0.62533,0.62592,0.62502,0.62519,9762.948
D0050530,0.62579,0.62579,0.62316,0.62547,636.2449
D0050545,0.62576,0.62735,0.62483,0.62726,18798.4042
D0050600,0.62763,0.63046,0.62625,0.62898,10453.7919
D0050615,0.62846,0.63755,0.62846,0.63755,17734.221
D0050630,0.63742,0.64531,0.63596,0.64531,36763.1329
D0050645,0.64538,0.6476,0.6382,0.63911,22611.0773
D0050700,0.64025,0.64382,0.63919,0.64135,11289.8176
D0050715,0.64168,0.64411,0.64014,0.64272,22381.5439
D0050730,0.64134,0.64726,0.64043,0.64577,10707.9872
D0050745,0.64375,0.6476,0.64361,0.64737,12824.4974
D0050800,0.64768,0.65215,0.64743,0.64895,19872.6167
D0050815,0.64956,0.65101,0.64741,0.64741,14921.8046
D0050830,0.6474,0.64761,0.64331,0.64442,6577.3372
D0050845,0.64378,0.64504,0.64119,0.6424,5681.9588956
D0050900,0.6426,0.64295,0.638,0.63851,10281.8566
D0050915,0.63884,0.64208,0.63853,0.64192,4251.31
D0050930,0.64243,0.6425,0.63775,0.63775,5361.7803
D0050945,0.64011,0.64033,0.63618,0.63933,3482.5608
D0051000,0.63949,0.64216,0.63824,0.63825,12347.9209
D0051015,0.63824,0.64192,0.63764,0.64136,43700.4212
D0051030,0.64136,0.64224,0.6392,0.63982,8059.7567
D0051045,0.6394,0.63966,0.63612,0.63669,7780.4714
D0051100,0.63674,0.63875,0.63561,0.63865,2374.7611
D0051115,0.63919,0.63919,0.63704,0.63837,6523.2304
D0051130,0.63853,0.63853,0.6365,0.637,7782.7224
D0051145,0.63649,0.6381,0.63629,0.6381,4737.9302
D0051200,0.6381,0.63949,0.6372,0.63874,4405.484
D0051215,0.63881,0.63949,0.63737,0.63815,3309.2671
D0051230,0.63781,0.63856,0.6361,0.63815,4067.3521
D0051245,0.63781,0.64069,0.63771,0.63997,4056.3441
D0051300,0.6383,0.64199,0.63732,0.64057,1088.7905
D0051315,0.63926,0.63982,0.63714,0.63728,3747.4013
D0051330,0.6377,0.64071,0.63638,0.63982,6379.7208
D0051345,0.63938,0.64314,0.63938,0.64128,9005.1934
D0051400,0.64179,0.64321,0.64095,0.64185,2800.3571
D0051415,0.64051,0.64339,0.63919,0.64285,15439.2016
D0051430,0.643,0.64979,0.643,0.64813,64970.2505
D0051445,0.64918,0.65021,0.64918,0.64941,21838.7786
D0051500,0.64981,0.65028,0.64607,0.64607,17158.8079
D0051515,0.64606,0.65128,0.64427,0.6503,21956.8679
D0051530,0.6503,0.65429,0.64788,0.64788,56267.068
D0051545,0.64788,0.65082,0.64741,0.64918,18218.0176
D0051600,0.64891,0.64891,0.64498,0.64671,4911.7941
D0051615,0.64606,0.64723,0.64426,0.64662,4929.1043
D0051630,0.648,0.65141,0.64791,0.65045,8633.1602
